Pagina,Apparaatcategorie,Besturingssysteem,Browser,Browserversie,Unieke paginaweergaves
/shop/checkout.asp,desktop,Windows,Chrome,43.0.2357.134,3
/shop/checkout.asp,desktop,Windows,Chrome,43.0.2357.81,3
/shop/checkout.asp,desktop,Windows,Chrome,44.0.2403.130,3
/shop/checkout.asp,desktop,Windows,Chrome,47.0.2526.80,3
/shop/checkout.asp,desktop,Windows,Chrome,48.0.2564.103,3
/shop/checkout.asp,desktop,Windows,Firefox,38.0,3
/shop/checkout.asp,mobile,Android,Chrome,47.0.2526.83,3
/shop/checkout.asp,tablet,iOS,Safari (in-app),(not set),3
/shop/psp/IDEC/cfm.asp,desktop,Macintosh,Firefox,29.0,3
/shop/psp/IDEC/cfm.asp,desktop,Macintosh,Safari,5.1.9,3
/shop/psp/IDEC/cfm.asp,desktop,Macintosh,Safari,7.0.6,3
/shop/psp/IDEC/cfm.asp,desktop,Macintosh,Safari,8.0,3
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,42.0.2311.90,3
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,43.0.2357.130,3
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,44.0.2403.157,3
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,46.0.2490.80,3
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,46.0.2490.86,3
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,47.0.2526.106,3
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,49.0.2623.110,3
/shop/psp/IDEC/cfm.asp,desktop,Windows,Firefox,32.0,3
/shop/psp/IDEC/cfm.asp,desktop,Windows,Firefox,34.0,3
/shop/psp/IDEC/cfm.asp,desktop,Windows,Firefox,41.0,3
/shop/psp/IDEC/cfm.asp,desktop,Windows,Internet Explorer,8.0,3
/shop/selectpaymentmethod.asp,desktop,Linux,Chrome,11.0.696.34,3
/shop/selectpaymentmethod.asp,desktop,Macintosh,Firefox,29.0,3
/shop/selectpaymentmethod.asp,desktop,Macintosh,Safari,7.0.3,3
/shop/selectpaymentmethod.asp,desktop,Macintosh,Safari,7.0.4,3
/shop/selectpaymentmethod.asp,desktop,Macintosh,Safari,8.0,3
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,34.0.1847.137,3
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,40.0.2214.94,3
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,43.0.2357.130,3
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,43.0.2357.134,3
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,43.0.2357.81,3
/shop/selectpaymentmethod.asp,desktop,Windows,Firefox,38.0,3
/shop/selectpaymentmethod.asp,mobile,Windows,Internet Explorer,11.0,3
/shop/selectpaymentmethod.asp,tablet,iOS,Safari (in-app),(not set),3
/templates/bestellen.asp,desktop,Linux,Firefox,29.0,3
/templates/bestellen.asp,desktop,Macintosh,Firefox,29.0,3
/templates/bestellen.asp,desktop,Macintosh,Safari,7.0.4,3
/templates/bestellen.asp,desktop,Macintosh,Safari,8.0,3
/templates/bestellen.asp,desktop,Windows,Chrome,40.0.2214.91,3
/templates/bestellen.asp,desktop,Windows,Chrome,44.0.2403.107,3
/templates/bestellen.asp,desktop,Windows,Chrome,48.0.2564.103,3
/templates/bestellen.asp,desktop,Windows,Chrome,50.0.2661.87,3
/templates/bestellen.asp,desktop,Windows,Firefox,39.0,3
/templates/bestellen.asp,desktop,Windows,Safari,5.1.7,3
/templates/bestellen.asp,mobile,Android,Chrome,28.0.1500.94,3
/templates/bestellen.asp,mobile,iOS,Safari,7.0,3
/templates/bestellen.asp,tablet,iOS,Safari,600.1.4,3
/templates/bestellen.asp,tablet,iOS,Safari (in-app),(not set),3
/templates/winkelwagen.asp,desktop,Linux,Chrome,11.0.696.34,3
/templates/winkelwagen.asp,desktop,Macintosh,Chrome,35.0.1916.153,3
/templates/winkelwagen.asp,desktop,Macintosh,Firefox,29.0,3
/templates/winkelwagen.asp,desktop,Macintosh,Firefox,38.0,3
/templates/winkelwagen.asp,desktop,Macintosh,Safari,7.0.4,3
/templates/winkelwagen.asp,desktop,Macintosh,Safari,8.0,3
